,country,year,Access to electricity,Electricity production(coal),Energy use per capita,co2 emissions,Inflation,Exports,GDP Growth(Annual),GDP Per Capita (USD)
74,KEN,2020,71.4379425048828,,,,5.40481467184518,-8.20856753220069,-0.316182728955951,1878.58070251348
75,KEN,2021,,,,,6.11090916378165,,,
76,NGA,2011,55.9000015258789,0.0,778.843657704047,27.4531109805074,,,,
77,NGA,2012,53.2312431335449,0.0,798.630024278772,28.7007945967422,12.2177817351031,-3.58897191765448,4.23006117510553,2723.82219093859
78,NGA,2013,55.5999984741211,0.0,780.139772744891,25.8796405346821,8.47582728502893,-21.7365173504731,6.67133539288378,2961.54942175947
79,NGA,2014,54.0482292175293,0.0,763.631851084707,28.1431204819277,8.06248582444999,24.085030612788,6.30971865572383,3098.98579063938
80,NGA,2015,52.5,0.0,,30.0276948682386,9.00938718326781,0.0884673062997194,2.65269329541835,2687.48005643212
81,NGA,2016,59.2999992370605,,,29.3880861464674,15.6753405526234,11.5315528365511,-1.61686894991816,2176.00277201515
82,NGA,2017,54.4000015258789,,,,16.5235399802169,8.73970635322125,0.805886619542704,1968.56539847444
83,NGA,2018,56.5,,,,12.0947315505318,-1.41063486935145,1.92275734157302,2027.77854863842
84,NGA,2019,55.4000015258789,,,,11.3967949687168,14.9756527986934,2.2084292771582,2229.8586518613
85,NGA,2020,55.4000015258789,,,,,-26.9633635005596,-1.79425308233591,2097.09247289022
86,PAK,2011,70.8542785644531,0.100956988116521,467.218623907883,56.0146935893815,,,,
87,PAK,2012,70.958610534668,0.0634590377113134,462.680345818864,53.3353989565217,9.6823518605568,-15.0008424168123,3.50703342009689,1198.11763704007
88,PAK,2013,71.0827713012695,0.150851300972366,464.043502191999,52.374161268091,7.6921561189957,13.5808344507817,4.39645663349772,1208.91771020458
89,PAK,2014,71.224739074707,0.135529218230082,460.239069543182,48.5918663369558,7.18938402847025,-1.48017625396784,4.67470798143725,1251.17571867949
90,PAK,2015,71.3815460205078,0.137108631529573,,46.1361904761905,2.52932817254226,-6.3435284744512,4.73114747532901,1356.66783065763
91,PAK,2016,71.5502243041992,,,41.5256221963781,3.76511916356584,-1.60330440209253,5.52673584474448,1368.42696140417
92,PAK,2017,70.7900009155273,,,,4.08537368032604,-0.642384050993741,5.55427743729406,1464.9261954181
93,PAK,2018,72.7831039428711,,,,5.07805725868917,12.6793885195133,5.83641749754401,1482.21306651797
94,PAK,2019,74.1276931762695,,,,10.5783618004555,14.493801685587,1.14474960525021,1288.55632450434
95,PAK,2020,75.3796920776367,,,,9.73999313898131,2.47623141254307,-0.935389532589809,1188.85975692162
96,PAK,2021,,,,,9.49621056124979,,,
97,USA,2011,100.0,43.3457640868712,7029.95460147645,25.2134698478374,,,,
98,USA,2012,100.0,38.4798556926388,6872.02728367462,27.5773369614622,2.06933726526059,4.01350386252244,2.24954585238848,51602.9310457907
99,USA,2013,100.0,39.9431412367387,6905.59863316056,27.3544006090972,1.46483265562714,2.97141181982509,1.84208107064158,53106.5367672165
100,USA,2014,100.0,39.6507326894421,6960.68399657951,28.2288097393867,1.62222297740821,3.88365374742938,2.52597344637341,55049.9883272312
101,USA,2015,100.0,34.2327337278988,6803.99660728499,29.785640394237,0.118627135552435,0.271088945115011,3.0755146497898,56863.3714957652
102,USA,2016,100.0,,,30.6538468776592,1.26158320570537,0.405260835624333,1.71142677366849,58021.4004997125
103,USA,2017,100.0,,,,2.13011000365963,4.07791135375055,2.33267939548638,60109.6557260477
104,USA,2018,100.0,,,,2.44258329692818,2.81110328720328,2.99646435222829,63064.4184096731
105,USA,2019,100.0,,,,1.81221007526015,-0.065189499116741,2.16117651518969,65279.5290260953
106,USA,2020,100.0,,,,1.23358439630637,-13.562814775713,-3.40459157333871,63206.5210767941
107,USA,2021,,,,,4.69785886363739,,,
